timestamp,sensor_id,zona,temperatura_c,humedad_aire_pct,humedad_sustrato_pct,luz_lux,ce_ms_cm,alerta
2026-04-02 00:00:00,SENSOR_01,Zona_A,12.6,88.1,66.7,0,1.5,ALERTA
2026-04-02 00:00:00,SENSOR_02,Zona_B,13.9,84.2,60.3,0,1.13,ALERTA
2026-04-02 00:00:00,SENSOR_03,Zona_C,13.4,85.4,50.4,0,1.34,ALERTA
2026-04-02 01:00:00,SENSOR_01,Zona_A,13.3,84.5,60.7,0,1.46,ALERTA
2026-04-02 01:00:00,SENSOR_02,Zona_B,13.5,86.2,67.1,0,1.13,ALERTA
2026-04-02 01:00:00,SENSOR_03,Zona_C,13.9,86.3,69.0,0,1.49,ALERTA
2026-04-02 02:00:00,SENSOR_01,Zona_A,13.5,84.8,55.3,0,1.08,ALERTA
2026-04-02 02:00:00,SENSOR_02,Zona_B,13.7,82.8,71.4,0,1.87,ALERTA
2026-04-02 02:00:00,SENSOR_03,Zona_C,12.8,82.2,68.3,0,1.53,ALERTA
2026-04-02 03:00:00,SENSOR_01,Zona_A,13.9,84.3,70.4,0,1.68,ALERTA
2026-04-02 03:00:00,SENSOR_02,Zona_B,14.8,82.2,64.3,0,1.67,ALERTA
2026-04-02 03:00:00,SENSOR_03,Zona_C,15.6,83.0,72.4,0,1.29,ALERTA
2026-04-02 04:00:00,SENSOR_01,Zona_A,16.2,79.6,59.4,0,1.56,OK
2026-04-02 04:00:00,SENSOR_02,Zona_B,15.1,83.1,62.6,0,1.31,ALERTA
2026-04-02 04:00:00,SENSOR_03,Zona_C,16.7,79.2,71.6,0,1.97,OK
2026-04-02 05:00:00,SENSOR_01,Zona_A,16.6,78.3,68.2,0,1.46,OK
2026-04-02 05:00:00,SENSOR_02,Zona_B,17.8,79.3,55.7,0,1.34,OK
2026-04-02 05:00:00,SENSOR_03,Zona_C,18.0,81.4,68.7,0,1.49,ALERTA
2026-04-02 06:00:00,SENSOR_01,Zona_A,18.4,78.0,61.9,0,1.97,OK
2026-04-02 06:00:00,SENSOR_02,Zona_B,17.7,81.3,64.7,0,1.64,ALERTA
2026-04-02 06:00:00,SENSOR_03,Zona_C,18.5,75.9,72.1,0,1.41,OK
2026-04-02 07:00:00,SENSOR_01,Zona_A,20.9,72.7,84.7,3126,1.53,OK
2026-04-02 07:00:00,SENSOR_02,Zona_B,20.4,75.1,55.4,3343,1.47,OK
2026-04-02 07:00:00,SENSOR_03,Zona_C,20.9,76.6,64.0,2897,2.02,ALERTA
2026-04-02 08:00:00,SENSOR_01,Zona_A,21.6,72.6,76.6,6807,1.75,OK
2026-04-02 08:00:00,SENSOR_02,Zona_B,20.8,73.3,62.2,5758,1.67,OK
2026-04-02 08:00:00,SENSOR_03,Zona_C,21.3,72.2,59.2,7655,1.64,OK
2026-04-02 09:00:00,SENSOR_01,Zona_A,21.9,72.5,58.8,8462,1.5,OK
2026-04-02 09:00:00,SENSOR_02,Zona_B,22.4,72.4,58.4,11216,1.7,ALERTA
2026-04-02 09:00:00,SENSOR_03,Zona_C,22.2,71.5,72.1,8747,1.63,ALERTA
2026-04-02 10:00:00,SENSOR_01,Zona_A,24.0,70.0,65.9,13889,1.55,ALERTA
2026-04-02 10:00:00,SENSOR_02,Zona_B,22.6,75.0,77.2,11515,1.61,ALERTA
2026-04-02 10:00:00,SENSOR_03,Zona_C,22.6,75.3,63.8,9429,1.59,ALERTA
2026-04-02 11:00:00,SENSOR_01,Zona_A,24.3,71.4,68.9,16210,1.59,ALERTA
2026-04-02 11:00:00,SENSOR_02,Zona_B,24.6,72.8,59.9,12813,1.74,ALERTA
2026-04-02 11:00:00,SENSOR_03,Zona_C,24.5,70.2,59.5,14577,1.79,ALERTA
2026-04-02 12:00:00,SENSOR_01,Zona_A,24.4,71.3,50.1,14801,1.53,ALERTA
2026-04-02 12:00:00,SENSOR_02,Zona_B,24.0,71.3,69.8,14864,1.59,ALERTA
2026-04-02 12:00:00,SENSOR_03,Zona_C,23.3,70.5,57.3,15161,1.65,ALERTA
2026-04-02 13:00:00,SENSOR_01,Zona_A,24.6,71.4,72.8,14659,1.58,ALERTA
2026-04-02 13:00:00,SENSOR_02,Zona_B,24.1,71.4,59.3,15327,1.36,ALERTA
2026-04-02 13:00:00,SENSOR_03,Zona_C,23.6,70.9,64.0,13965,1.65,ALERTA
2026-04-02 14:00:00,SENSOR_01,Zona_A,23.3,69.7,62.7,15212,1.6,ALERTA
2026-04-02 14:00:00,SENSOR_02,Zona_B,23.7,72.5,76.9,16557,2.1,ALERTA
2026-04-02 14:00:00,SENSOR_03,Zona_C,22.6,72.4,54.1,19783,1.39,ALERTA
2026-04-02 15:00:00,SENSOR_01,Zona_A,22.8,71.2,67.9,13442,1.35,ALERTA
2026-04-02 15:00:00,SENSOR_02,Zona_B,22.3,71.0,68.9,12127,2.06,ALERTA
2026-04-02 15:00:00,SENSOR_03,Zona_C,21.5,75.8,58.2,12797,1.73,OK
2026-04-02 16:00:00,SENSOR_01,Zona_A,21.5,76.7,55.5,16279,1.92,OK
2026-04-02 16:00:00,SENSOR_02,Zona_B,21.9,75.3,69.2,17082,1.48,OK
2026-04-02 16:00:00,SENSOR_03,Zona_C,21.7,76.0,58.9,13461,1.46,OK
2026-04-02 17:00:00,SENSOR_01,Zona_A,19.8,75.5,67.1,9056,1.8,OK
2026-04-02 17:00:00,SENSOR_02,Zona_B,19.9,79.6,68.8,10562,1.1,ALERTA
2026-04-02 17:00:00,SENSOR_03,Zona_C,19.4,75.9,63.6,12808,1.36,OK
2026-04-02 18:00:00,SENSOR_01,Zona_A,18.0,78.1,58.5,11232,1.34,OK
2026-04-02 18:00:00,SENSOR_02,Zona_B,18.3,78.5,52.3,10529,1.65,OK
2026-04-02 18:00:00,SENSOR_03,Zona_C,19.0,80.2,56.3,9267,1.9,ALERTA
2026-04-02 19:00:00,SENSOR_01,Zona_A,16.3,82.8,69.8,5379,1.34,ALERTA
2026-04-02 19:00:00,SENSOR_02,Zona_B,17.5,78.0,82.6,8121,1.44,OK
2026-04-02 19:00:00,SENSOR_03,Zona_C,17.5,80.9,73.9,7267,1.13,ALERTA
2026-04-02 20:00:00,SENSOR_01,Zona_A,15.1,80.3,62.3,4034,1.74,ALERTA
2026-04-02 20:00:00,SENSOR_02,Zona_B,15.5,82.9,67.4,4082,1.91,ALERTA
2026-04-02 20:00:00,SENSOR_03,Zona_C,16.2,78.7,72.0,4073,1.52,OK
2026-04-02 21:00:00,SENSOR_01,Zona_A,15.4,79.3,68.3,0,1.65,OK
2026-04-02 21:00:00,SENSOR_02,Zona_B,14.1,82.3,61.8,0,1.8,ALERTA
2026-04-02 21:00:00,SENSOR_03,Zona_C,15.0,80.5,69.2,0,1.62,ALERTA
2026-04-02 22:00:00,SENSOR_01,Zona_A,13.4,82.2,52.6,0,1.38,ALERTA
2026-04-02 22:00:00,SENSOR_02,Zona_B,13.4,83.3,51.7,0,1.47,ALERTA
2026-04-02 22:00:00,SENSOR_03,Zona_C,14.2,86.0,51.3,0,1.84,ALERTA
2026-04-02 23:00:00,SENSOR_01,Zona_A,13.9,82.2,74.8,0,1.65,ALERTA
2026-04-02 23:00:00,SENSOR_02,Zona_B,13.5,81.5,66.4,0,1.63,ALERTA
2026-04-02 23:00:00,SENSOR_03,Zona_C,13.2,86.9,61.1,0,1.4,ALERTA
